[09-04-2025 16:40:55] WARNING   * Debugger is active!
[09-04-2025 16:40:55] INFO      * Debugger PIN: 369-247-726
[09-04-2025 16:40:57] INFO     127.0.0.1 - - [09/Apr/2025 16:40:57] "OPTIONS /informe HTTP/1.1" 200 -
[09-04-2025 16:40:58] INFO     Se obtuvo el token de la solicitud correctamente
[09-04-2025 16:40:59] INFO     Se obtuvo el token de la solicitud correctamente
[09-04-2025 16:41:55] INFO     Servicios Profesionales
[09-04-2025 16:42:00] INFO     Soporte
[09-04-2025 16:42:02] INFO     Soporte
[09-04-2025 16:42:03] INFO     Soporte
[09-04-2025 16:42:04] INFO     Soporte
[09-04-2025 16:42:05] INFO     Soporte
[09-04-2025 16:42:06] INFO     Soporte
[09-04-2025 16:42:08] INFO     Soporte
[09-04-2025 16:42:09] INFO     Soporte
[09-04-2025 16:42:12] WARNING  Error al buscar la data del content id 2019900, se volvera a intentar
[09-04-2025 16:42:12] INFO     Soporte
[09-04-2025 16:42:13] INFO     Soporte
[09-04-2025 16:42:14] INFO     Soporte
[09-04-2025 16:42:18] INFO     Soporte
[09-04-2025 16:42:35] INFO     127.0.0.1 - - [09/Apr/2025 16:42:35] "POST /informe HTTP/1.1" 200 -
[09-04-2025 16:48:16] INFO     127.0.0.1 - - [09/Apr/2025 16:48:16] "OPTIONS /informe HTTP/1.1" 200 -
[09-04-2025 16:48:17] INFO     Se obtuvo el token de la solicitud correctamente
[09-04-2025 16:48:18] INFO     Se obtuvo el token de la solicitud correctamente
[09-04-2025 16:49:39] INFO     Servicios Profesionales
[09-04-2025 16:49:41] INFO     Soporte
[09-04-2025 16:49:42] INFO     Soporte
[09-04-2025 16:49:43] INFO     Soporte
[09-04-2025 16:49:44] INFO     Soporte
[09-04-2025 16:49:45] INFO     Soporte
[09-04-2025 16:49:46] INFO     Soporte
[09-04-2025 16:49:49] INFO     Soporte
[09-04-2025 16:49:50] INFO     Soporte
[09-04-2025 16:49:52] INFO     Soporte
[09-04-2025 16:49:53] INFO     Soporte
[09-04-2025 16:49:54] INFO     Soporte
[09-04-2025 16:49:56] INFO     127.0.0.1 - - [09/Apr/2025 16:49:56] "POST /informe HTTP/1.1" 200 -
